test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
80.51428571428572,0.4708691499522445,0.7938808373590982,1200,active learning,uncertainty,0,0.2833333333333333
83.31428571428572,0.48519579751671443,0.918625678119349,2400,active learning,uncertainty,0,0.4066666666666667
86.2,0.6800382043935053,0.827906976744186,3600,active learning,uncertainty,0,0.46555555555555556
86.97142857142856,0.6762177650429799,0.8581818181818182,4800,active learning,uncertainty,0,0.4325
87.6,0.6590257879656161,0.8996088657105606,6000,active learning,uncertainty,0,0.4023333333333333
87.28571428571429,0.6771728748806113,0.8688725490196079,7200,active learning,uncertainty,0,0.38166666666666665
87.34285714285714,0.6389684813753582,0.9114441416893733,8400,active learning,uncertainty,0,0.3433333333333333
87.74285714285715,0.6771728748806113,0.88625,9600,active learning,uncertainty,0,0.32385416666666667
87.37142857142857,0.664756446991404,0.8843710292249047,10800,active learning,uncertainty,0,0.32055555555555554
87.77142857142857,0.6313276026743075,0.9402560455192034,12000,active learning,uncertainty,0,0.31433333333333335
80.51428571428572,0.4708691499522445,0.7938808373590982,1200,active learning,uncertainty_monte_carlo,0,0.2833333333333333
84.08571428571429,0.5463228271251194,0.8746177370030581,2400,active learning,uncertainty_monte_carlo,0,0.43
86.57142857142858,0.6475644699140402,0.8703465982028241,3600,active learning,uncertainty_monte_carlo,0,0.47555555555555556
86.97142857142856,0.6561604584527221,0.8773946360153256,4800,active learning,uncertainty_monte_carlo,0,0.449375
86.17142857142858,0.6542502387774594,0.8488228004956629,6000,active learning,uncertainty_monte_carlo,0,0.43116666666666664
87.14285714285714,0.6685768863419294,0.8717310087173101,7200,active learning,uncertainty_monte_carlo,0,0.3934722222222222
87.0,0.6628462273161414,0.871859296482412,8400,active learning,uncertainty_monte_carlo,0,0.384047619047619
88.02857142857144,0.6599808978032474,0.916445623342175,9600,active learning,uncertainty_monte_carlo,0,0.3640625
88.2,0.7048710601719198,0.8764845605700713,10800,active learning,uncertainty_monte_carlo,0,0.33916666666666667
87.25714285714285,0.6275071633237822,0.9214586255259467,12000,active learning,uncertainty_monte_carlo,0,0.3139166666666667
80.51428571428572,0.4708691499522445,0.7938808373590982,1200,active learning,random,0,0.2833333333333333
84.14285714285714,0.5377268385864374,0.88801261829653,2400,active learning,random,0,0.30416666666666664
83.97142857142858,0.5396370582617,0.8773291925465838,3600,active learning,random,0,0.3011111111111111
85.08571428571429,0.5663801337153773,0.897125567322239,4800,active learning,random,0,0.2970833333333333
86.02857142857144,0.6160458452722063,0.8811475409836066,6000,active learning,random,0,0.297
86.5142857142857,0.6074498567335244,0.9124820659971306,7200,active learning,random,0,0.3005555555555556
87.22857142857143,0.664756446991404,0.8787878787878788,8400,active learning,random,0,0.30273809523809525
86.4857142857143,0.6217765042979942,0.8942307692307693,9600,active learning,random,0,0.3028125
87.71428571428571,0.6714422158548233,0.8910012674271229,10800,active learning,random,0,0.30157407407407405
87.28571428571429,0.6399235912129895,0.907859078590786,12000,active learning,random,0,0.29933333333333334
81.2,0.46227316141356256,0.8359240069084629,1200,active learning,uncertainty,1,0.2833333333333333
84.48571428571428,0.5616045845272206,0.875,2400,active learning,uncertainty,1,0.38958333333333334
86.28571428571429,0.664756446991404,0.8436363636363636,3600,active learning,uncertainty,1,0.4091666666666667
86.62857142857143,0.6666666666666666,0.8543451652386781,4800,active learning,uncertainty,1,0.4008333333333333
87.14285714285714,0.6599808978032474,0.8802547770700637,6000,active learning,uncertainty,1,0.38566666666666666
86.88571428571429,0.6179560649474689,0.9164305949008499,7200,active learning,uncertainty,1,0.36541666666666667
87.54285714285714,0.6552053486150907,0.9014454664914586,8400,active learning,uncertainty,1,0.3352380952380952
87.45714285714286,0.6437440305635148,0.9108108108108108,9600,active learning,uncertainty,1,0.3615625
87.91428571428571,0.6895893027698186,0.8804878048780488,10800,active learning,uncertainty,1,0.34194444444444444
88.45714285714286,0.6743075453677173,0.918075422626788,12000,active learning,uncertainty,1,0.31425
81.2,0.46227316141356256,0.8359240069084629,1200,active learning,uncertainty_monte_carlo,1,0.2833333333333333
84.91428571428571,0.5682903533906399,0.886736214605067,2400,active learning,uncertainty_monte_carlo,1,0.39166666666666666
85.97142857142858,0.5835721107927412,0.9174174174174174,3600,active learning,uncertainty_monte_carlo,1,0.4338888888888889
86.42857142857143,0.6370582617000955,0.8753280839895013,4800,active learning,uncertainty_monte_carlo,1,0.43895833333333334
87.14285714285714,0.6609360076408787,0.8792884371029225,6000,active learning,uncertainty_monte_carlo,1,0.42633333333333334
87.42857142857143,0.6542502387774594,0.8977719528178244,7200,active learning,uncertainty_monte_carlo,1,0.40055555555555555
87.91428571428571,0.6743075453677173,0.8959390862944162,8400,active learning,uncertainty_monte_carlo,1,0.3854761904761905
87.0,0.6580706781279847,0.8765903307888041,9600,active learning,uncertainty_monte_carlo,1,0.36385416666666665
87.22857142857143,0.6743075453677173,0.8694581280788177,10800,active learning,uncertainty_monte_carlo,1,0.3415740740740741
87.45714285714286,0.6552053486150907,0.8979057591623036,12000,active learning,uncertainty_monte_carlo,1,0.31675
81.2,0.46227316141356256,0.8359240069084629,1200,active learning,random,1,0.2833333333333333
83.31428571428572,0.5702005730659025,0.8166894664842681,2400,active learning,random,1,0.2975
82.57142857142857,0.4708691499522445,0.8979963570127505,3600,active learning,random,1,0.2980555555555556
84.8,0.5883476599808978,0.8591352859135286,4800,active learning,random,1,0.29625
85.48571428571428,0.6781279847182426,0.8059023836549376,6000,active learning,random,1,0.29533333333333334
85.85714285714286,0.6255969436485196,0.8641160949868074,7200,active learning,random,1,0.29680555555555554
86.68571428571428,0.6809933142311366,0.8437869822485207,8400,active learning,random,1,0.2938095238095238
86.77142857142857,0.6055396370582617,0.9269005847953217,9600,active learning,random,1,0.29291666666666666
86.8,0.6160458452722063,0.9148936170212766,10800,active learning,random,1,0.2947222222222222
88.08571428571429,0.6685768863419294,0.9090909090909091,12000,active learning,random,1,0.29691666666666666
81.22857142857143,0.44508118433619864,0.8597785977859779,1200,active learning,uncertainty,2,0.2833333333333333
