test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
73.4,0.2948717948717949,0.6666666666666666,500,active learning,uncertainty,0,0.266
80.5,0.41346153846153844,0.9148936170212766,1000,active learning,uncertainty,0,0.353
82.8,0.5512820512820513,0.8431372549019608,1500,active learning,uncertainty,0,0.448
85.7,0.6153846153846154,0.8930232558139535,2000,active learning,uncertainty,0,0.4545
85.5,0.657051282051282,0.8436213991769548,2500,active learning,uncertainty,0,0.46
84.3,0.6378205128205128,0.8189300411522634,3000,active learning,uncertainty,0,0.4503333333333333
85.8,0.6314102564102564,0.8794642857142857,3500,active learning,uncertainty,0,0.44542857142857145
83.8,0.5288461538461539,0.9166666666666666,4000,active learning,uncertainty,0,0.43275
85.5,0.6282051282051282,0.8711111111111111,4500,active learning,uncertainty,0,0.4513333333333333
85.6,0.6955128205128205,0.8157894736842105,5000,active learning,uncertainty,0,0.4434
73.4,0.2948717948717949,0.6666666666666666,500,active learning,random,0,0.266
80.4,0.4391025641025641,0.8670886075949367,1000,active learning,random,0,0.276
81.39999999999999,0.47115384615384615,0.875,1500,active learning,random,0,0.28733333333333333
79.7,0.375,0.936,2000,active learning,random,0,0.2875
81.0,0.44551282051282054,0.8910256410256411,2500,active learning,random,0,0.2932
81.69999999999999,0.48717948717948717,0.8685714285714285,3000,active learning,random,0,0.2896666666666667
84.1,0.5288461538461539,0.9322033898305084,3500,active learning,random,0,0.2874285714285714
84.2,0.5608974358974359,0.8928571428571429,4000,active learning,random,0,0.28825
84.6,0.5769230769230769,0.8910891089108911,4500,active learning,random,0,0.28933333333333333
86.1,0.6346153846153846,0.8878923766816144,5000,active learning,random,0,0.2922
73.4,0.2948717948717949,0.6666666666666666,500,active learning,uncertainty_monte_carlo,0,0.266
81.2,0.4967948717948718,0.8333333333333334,1000,active learning,uncertainty_monte_carlo,0,0.366
76.7,0.5544871794871795,0.6479400749063671,1500,active learning,uncertainty_monte_carlo,0,0.4493333333333333
77.10000000000001,0.6826923076923077,0.6209912536443148,2000,active learning,uncertainty_monte_carlo,0,0.406
80.10000000000001,0.40064102564102566,0.9124087591240876,2500,active learning,uncertainty_monte_carlo,0,0.3564
83.89999999999999,0.5641025641025641,0.8756218905472637,3000,active learning,uncertainty_monte_carlo,0,0.417
84.3,0.532051282051282,0.9378531073446328,3500,active learning,uncertainty_monte_carlo,0,0.4188571428571429
86.2,0.657051282051282,0.8686440677966102,4000,active learning,uncertainty_monte_carlo,0,0.43525
83.3,0.5096153846153846,0.9190751445086706,4500,active learning,uncertainty_monte_carlo,0,0.41333333333333333
85.6,0.6538461538461539,0.85,5000,active learning,uncertainty_monte_carlo,0,0.425
76.3,0.36538461538461536,0.7450980392156863,500,active learning,uncertainty,1,0.266
77.7,0.5961538461538461,0.657243816254417,1000,active learning,uncertainty,1,0.415
84.1,0.5673076923076923,0.8805970149253731,1500,active learning,uncertainty,1,0.37133333333333335
82.3,0.46153846153846156,0.9411764705882353,2000,active learning,uncertainty,1,0.4115
83.3,0.49038461538461536,0.9503105590062112,2500,active learning,uncertainty,1,0.4504
87.0,0.6634615384615384,0.8922413793103449,3000,active learning,uncertainty,1,0.4723333333333333
86.5,0.6057692307692307,0.9402985074626866,3500,active learning,uncertainty,1,0.4734285714285714
87.6,0.6666666666666666,0.9122807017543859,4000,active learning,uncertainty,1,0.47875
87.0,0.6794871794871795,0.8760330578512396,4500,active learning,uncertainty,1,0.47
86.9,0.6506410256410257,0.9022222222222223,5000,active learning,uncertainty,1,0.4504
76.3,0.36538461538461536,0.7450980392156863,500,active learning,random,1,0.266
76.1,0.3301282051282051,0.7744360902255639,1000,active learning,random,1,0.278
80.5,0.40705128205128205,0.927007299270073,1500,active learning,random,1,0.2786666666666667
82.0,0.47115384615384615,0.9074074074074074,2000,active learning,random,1,0.2835
82.3,0.4775641025641026,0.9141104294478528,2500,active learning,random,1,0.2844
